standard_field,canonical_field,taxonomy,source_tag,priority,statement_type,flow_or_stock,expected_unit,sign_multiplier,expected_domain,duration_rule,canonical_definition,source_policy,sign_policy,required_for_q1,applicability_rule,notes
revenue,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax|RevenueFromContractWithCustomerIncludingAssessedTax|SalesRevenueNet|Revenues,ordered_left_to_right,income_statement,flow,USD,1,any,annual_330_385_days,Consolidated annual revenue or issuer-equivalent net sales,Direct reported value unless company mapping documents an aggregation,Preserve reported sign,1,Required for every company-year,Company-specific revenue recognition remains a comparability note
gross_profit,gross_profit,us-gaap,GrossProfit,ordered_left_to_right,income_statement,flow,USD,1,any,annual_330_385_days,Revenue less the issuer-relevant direct cost base,Direct or project-derived only when the company mapping documents the derivation,Preserve reported sign,0,May be unavailable for platform models without a reliable cost-of-revenue definition,Amazon gross profit remains project-derived in the frozen analytical release
operating_income,operating_income,us-gaap,OperatingIncomeLoss,ordered_left_to_right,income_statement,flow,USD,1,any,annual_330_385_days,Consolidated operating income or loss,Direct reported value,Income positive and loss negative,1,Required for every company-year,
net_income,net_income,us-gaap,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic,ordered_left_to_right,income_statement,flow,USD,1,any,annual_330_385_days,Consolidated GAAP net income attributable to the defined common equity base,Direct reported value using the company-specific mapping,Income positive and loss negative,1,Required for every company-year,Issuer attribution boundaries are checked against the manual reconciliation
total_assets,total_assets,us-gaap,Assets,ordered_left_to_right,balance_sheet,stock,USD,1,positive,instant_at_fiscal_year_end,Fiscal-year-end consolidated total assets,Direct reported value,Positive balance,1,Required for every company-year,
total_liabilities,total_liabilities,us-gaap,Liabilities,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end consolidated liabilities under the project reconciliation boundary,Direct or derived only when documented,Positive balance,1,Required for every company-year,May be derived in the frozen analytical release when a reliable total line is absent
total_equity,total_equity,us-gaap,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ordered_left_to_right,balance_sheet,stock,USD,1,any,instant_at_fiscal_year_end,Fiscal-year-end stockholders equity or deficit under the project boundary,Direct reported value,Deficit remains negative,1,Required; nonpositive average equity makes ROE invalid,
current_assets,current_assets,us-gaap,AssetsCurrent,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end current assets,Direct reported value,Positive balance,0,Required for liquidity ratios when reported,
current_liabilities,current_liabilities,us-gaap,LiabilitiesCurrent,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end current liabilities,Direct reported value,Positive balance,0,Required for liquidity ratios when reported,
cash_and_equivalents,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Cash and cash equivalents excluding marketable securities unless issuer presentation requires otherwise,Direct reported value,Positive balance,0,Cash-only liquidity can understate broader liquid assets,
inventory,inventory,us-gaap,InventoryNet,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end separately reported inventory,Direct reported value,Positive balance,0,Blank is not zero when inventory is not separately reported or not applicable,
long_term_debt,long_term_debt,us-gaap,LongTermDebtNoncurrent|LongTermDebtAndFinanceLeaseObligationsNoncurrent,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end long-term borrowing excluding operating lease liabilities,Direct or verified zero only when the filing supports it,Positive balance or verified zero,0,Blank when no reliable separate borrowing balance is available,
total_debt,total_debt,us-gaap,DebtLongtermAndShorttermCombinedAmount|DebtAndCapitalLeaseObligations|LongTermDebtAndCapitalLeaseObligations|LongTermDebtAndFinanceLeaseObligations,ordered_left_to_right,balance_sheet,stock,USD,1,nonnegative,instant_at_fiscal_year_end,Fiscal-year-end current and noncurrent interest-bearing debt under the issuer reporting boundary,Use a direct consolidated tag when available; otherwise require a documented company-level aggregation,Positive balance or filing-verified zero,0,Conditional A2 probe field; not yet frozen for Q1,Absence of a direct tag is an override candidate rather than evidence of zero debt
operating_cash_flow,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,ordered_left_to_right,cash_flow,flow,USD,1,any,annual_330_385_days,Net cash provided by or used in operating activities,Direct reported value,Cash inflow positive and cash outflow negative,1,Required for every company-year,
capital_expenditure,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment|PaymentsToAcquireProductiveAssets,ordered_left_to_right,cash_flow,flow,USD,abs,nonnegative,annual_330_385_days,Project-defined purchases of property and equipment plus documented capitalized software where applicable,Direct or documented aggregation,Store cash outflow as a positive amount,1,Required for project free cash flow,Issuer-specific software additions may require a documented manual aggregation
free_cash_flow,free_cash_flow,derived,,derived,cash_flow,flow,USD,1,any,derived,Operating cash flow minus project capital expenditure,Project-derived,Preserve formula result,1,Required and reconciled to OCF minus CapEx,Not extracted from SEC companyfacts
shares_outstanding,shares_outstanding,dei,EntityCommonStockSharesOutstanding,ordered_left_to_right,balance_sheet,stock,shares,1,positive,instant_at_fiscal_year_end,Fiscal-year-end common shares outstanding across relevant share classes,Direct or documented aggregation,Positive balance,0,Do not use weighted-average EPS shares,May require class aggregation for dual-class issuers
