company_id,ticker,probe_role,field_round,canonical_field,configured_tags,raw_observed_tags,raw_observed_taxonomies,raw_observed_units,normalized_source_tags,normalized_units,normalized_fact_rows,fiscal_years,period_ends,duration_days,raw_fy_values,raw_fp_values,accession_complete,filing_date_complete,multiple_filing_versions,max_versions_per_fiscal_year,company_override_candidate,fiscal_period_note,shared_mapping_status
chwy,CHWY,Inventory-led E-commerce,first_round_required,revenue,RevenueFromContractWithCustomerExcludingAssessedTax|RevenueFromContractWithCustomerIncludingAssessedTax|SalesRevenueNet|Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,USD,RevenueFromContractWithCustomerExcludingAssessedTax,USD,9,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,363,2021|2022|2023|2024|2025,FY,1,1,1,3,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,first_round_required,net_income,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLoss|NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap,USD,NetIncomeLoss,USD,9,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,363,2021|2022|2023|2024|2025,FY,1,1,1,3,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,first_round_required,total_assets,Assets,Assets,us-gaap,USD,Assets,USD,6,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024,FY,1,1,1,2,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,first_round_required,total_equity,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquity,us-gaap,USD,StockholdersEquity,USD,11,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024|2025,FY,1,1,1,4,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,cash_and_equivalents,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,us-gaap,USD,CashAndCashEquivalentsAtCarryingValue,USD,6,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024,FY,1,1,1,2,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,inventory,InventoryNet,InventoryNet,us-gaap,USD,InventoryNet,USD,6,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024,FY,1,1,1,2,none_observed_in_probe,52/53-week period; map project fiscal year from period end,conditional_not_applicable
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,current_assets,AssetsCurrent,AssetsCurrent,us-gaap,USD,AssetsCurrent,USD,6,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024,FY,1,1,1,2,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,current_liabilities,LiabilitiesCurrent,LiabilitiesCurrent,us-gaap,USD,LiabilitiesCurrent,USD,6,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,,2021|2022|2023|2024,FY,1,1,1,2,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,total_debt,DebtLongtermAndShorttermCombinedAmount|DebtAndCapitalLeaseObligations|LongTermDebtAndCapitalLeaseObligations|LongTermDebtAndFinanceLeaseObligations,,,,,,0,,,,,,0,0,0,0,filing_verification_or_documented_aggregation,52/53-week period; map project fiscal year from period end,company_review_required
chwy,CHWY,Inventory-led E-commerce,second_round_conditional,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,us-gaap,USD,NetCashProvidedByUsedInOperatingActivities,USD,9,2021|2022|2023,2022-01-30|2023-01-29|2024-01-28,363,2021|2022|2023|2024|2025,FY,1,1,1,3,none_observed_in_probe,52/53-week period; map project fiscal year from period end,shared_direct
