contract_version,canonical_field,field_role,load_to_formal_layer,flow_or_stock,sign_rule,duration_rule,requiredness
Gate1-v1.0,revenue,dupont_core,1,flow,preserve_reported,annual_330_385_days,required
Gate1-v1.0,net_income,dupont_core,1,flow,preserve_reported,annual_330_385_days,required
Gate1-v1.0,total_assets,dupont_core,1,stock,preserve_reported,instant_at_fiscal_year_end,required
Gate1-v1.0,total_equity,dupont_core,1,stock,preserve_deficit,instant_at_fiscal_year_end,required
Gate1-v1.0,operating_income,quality_direct,1,flow,preserve_reported,annual_330_385_days,required
Gate1-v1.0,total_liabilities,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,required
Gate1-v1.0,current_assets,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,conditional_when_reported
Gate1-v1.0,current_liabilities,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,conditional_when_reported
Gate1-v1.0,cash_and_equivalents,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,conditional_when_reported
Gate1-v1.0,inventory,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,conditional_not_zero_if_missing
Gate1-v1.0,total_debt,quality_direct,1,stock,nonnegative,instant_at_fiscal_year_end,conditional_documented_aggregation_allowed
Gate1-v1.0,operating_cash_flow,quality_direct,1,flow,preserve_reported,annual_330_385_days,required
Gate1-v1.0,capital_expenditure,quality_direct,1,flow,store_positive_outflow,annual_330_385_days,required
Gate1-v1.0,free_cash_flow,derived,1,flow,operating_cash_flow_minus_capex,derived,required
Gate1-v1.0,gross_profit,noncore_retained_history,0,flow,preserve_reported,annual_330_385_days,not_loaded_formal_q1
Gate1-v1.0,long_term_debt,noncore_duplicate,0,stock,nonnegative,instant_at_fiscal_year_end,not_loaded_formal_q1
Gate1-v1.0,shares_outstanding,noncore,0,stock,positive,instant_at_fiscal_year_end,not_loaded_formal_q1
