ticker,company_name,exchange,country,listing_status,primary_business_model,secondary_business_model,platform_type,has_marketplace,has_first_party_retail,has_subscription,has_payment_fintech,has_ads_business,peer_group,include_in_core_sample,include_reason,exclude_reason,notes
AMZN,Amazon.com Inc,NASDAQ,United States,active,hybrid_retail_marketplace,cloud_ads_subscription,hybrid_platform,1,1,1,0,1,hybrid,1,Large US-listed e-commerce benchmark,NA,Diversified business model requires caution
EBAY,eBay Inc,NASDAQ,United States,active,marketplace,NA,marketplace,1,0,0,0,1,marketplace_platform,1,Pure marketplace benchmark,NA,Useful peer for asset-light marketplace economics
ETSY,Etsy Inc,NYSE,United States,active,marketplace,NA,marketplace,1,0,0,0,1,marketplace_platform,1,Specialized marketplace with public financial data,NA,Exchange classification to be verified during data audit
W,Wayfair Inc,NYSE,United States,active,first_party_retail,NA,first_party_retailer,0,1,0,0,0,inventory_led_ecommerce,1,Online retail core candidate,NA,Home goods online retailer
CHWY,Chewy Inc,NYSE,United States,active,first_party_retail,subscription,first_party_retailer,0,1,1,0,0,inventory_led_ecommerce,1,Online retail core candidate,NA,Pet retail with autoship subscription element
RVLV,Revolve Group Inc,NYSE,United States,active,first_party_retail,NA,first_party_retailer,0,1,0,0,0,dtc_brand,1,Online fashion retail candidate,NA,Asset and inventory structure should be compared carefully
REAL,The RealReal Inc,NASDAQ,United States,active,marketplace,consignment_resale,marketplace,1,0,0,0,0,marketplace_platform,1,Resale marketplace with distress relevance,NA,Luxury resale model differs from standard retail
BYON,Bed Bath & Beyond Inc,NYSE,United States,active,first_party_retail,marketplace,hybrid_platform,1,1,0,0,0,hybrid,1,Current Bed Bath & Beyond issuer retained under stable BYON census label,NA,Current ticker changed to BBBY on 2025-08-29; distinct from legacy bankrupt BBBY issuer
SFIX,Stitch Fix Inc,NASDAQ,United States,active,first_party_retail,service_commerce_platform,service_platform,0,1,1,0,0,dtc_brand,1,Online apparel retail and service commerce candidate,NA,Subscription styling model creates comparability issue
CART,Maplebear Inc,NASDAQ,United States,active,food_delivery_local_commerce,grocery_platform,service_platform,1,0,1,0,1,marketplace_platform,0,NA,Limited post-IPO annual history,Keep in universe but likely non-core until data audit
DASH,DoorDash Inc,NASDAQ,United States,active,food_delivery_local_commerce,marketplace,service_platform,1,0,1,1,1,marketplace_platform,1,Digital local commerce platform candidate,NA,Peer group should be separated from retail e-commerce
UBER,Uber Technologies Inc,NYSE,United States,active,food_delivery_local_commerce,mobility_platform,service_platform,1,0,1,1,1,boundary,0,NA,Mobility business dominates comparability,Use only as non-core reference
BKNG,Booking Holdings Inc,NASDAQ,United States,active,travel_booking_platform,NA,service_platform,1,0,0,1,1,marketplace_platform,1,Online travel booking platform candidate,NA,Travel peer group should be separate
EXPE,Expedia Group Inc,NASDAQ,United States,active,travel_booking_platform,NA,service_platform,1,0,0,1,1,marketplace_platform,1,Online travel booking platform candidate,NA,Travel peer group should be separate
ABNB,Airbnb Inc,NASDAQ,United States,active,travel_booking_platform,service_commerce_platform,service_platform,1,0,0,1,1,marketplace_platform,1,Asset-light travel marketplace candidate,NA,Platform economics differ from inventory retail
SHOP,Shopify Inc,NYSE,Canada,active,merchant_enablement,software_payments,infrastructure_platform,0,0,1,1,0,boundary,0,NA,Infrastructure provider rather than direct commerce platform,Important non-core benchmark
MELI,MercadoLibre Inc,NASDAQ,Uruguay,active,hybrid_retail_marketplace,fintech_logistics_ads,hybrid_platform,1,1,1,1,1,hybrid,0,NA,Non-US operating geography and fintech exposure,Potential extended sample candidate
