mart_name,grain,field_ordinal,field_name,data_type,description
q1_latest_restated,one formal company x fiscal year x canonical field,1,company_id,VARCHAR,Stable issuer identifier used for every join and window partition.
q1_latest_restated,one formal company x fiscal year x canonical field,2,ticker,VARCHAR,Display ticker for the selected issuer and period.
q1_latest_restated,one formal company x fiscal year x canonical field,3,accession_number,VARCHAR,Accession number produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,4,form,VARCHAR,Form produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,5,filing_date,VARCHAR,Filing date produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,6,period_start,VARCHAR,Period start produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,7,period_end,VARCHAR,Period end produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,8,fiscal_year,BIGINT,Issuer fiscal year assigned by the verified annual period map.
q1_latest_restated,one formal company x fiscal year x canonical field,9,fiscal_period,VARCHAR,Fiscal period produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,10,duration_days,VARCHAR,Duration days produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,11,canonical_field,VARCHAR,Gate 1 canonical financial concept.
q1_latest_restated,one formal company x fiscal year x canonical field,12,taxonomy,VARCHAR,Taxonomy produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,13,source_tag,VARCHAR,Source tag produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,14,value_raw,DOUBLE,Value raw produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,15,value_standardized,DOUBLE,Selected value after canonical sign and unit standardization.
q1_latest_restated,one formal company x fiscal year x canonical field,16,unit,VARCHAR,Unit produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,17,flow_or_stock,VARCHAR,Flow or stock produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,18,source_priority,BIGINT,Source priority produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,19,source_url,VARCHAR,Source url produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,20,loaded_at,VARCHAR,Loaded at produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,21,cik,VARCHAR,Cik produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,22,source_unit,VARCHAR,Source unit produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,23,reported_fiscal_year,BIGINT,Reported fiscal year produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,24,frame,VARCHAR,Frame produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,25,is_latest_restated,BOOLEAN,Is latest restated produced by q1_latest_restated; inherited fields retain source-mart meaning.
q1_latest_restated,one formal company x fiscal year x canonical field,26,source_selection_method,VARCHAR,Deterministic latest-valid or derived-component selection method.
q1_latest_restated,one formal company x fiscal year x canonical field,27,source_selection_note,VARCHAR,Human-readable explanation of the source/version choice.
q1_annual_company_metrics,one formal company x available fiscal year,1,company_id,VARCHAR,Stable issuer identifier used for every join and window partition.
q1_annual_company_metrics,one formal company x available fiscal year,2,ticker,VARCHAR,Display ticker for the selected issuer and period.
q1_annual_company_metrics,one formal company x available fiscal year,3,fiscal_year,BIGINT,Issuer fiscal year assigned by the verified annual period map.
q1_annual_company_metrics,one formal company x available fiscal year,4,period_end_date,DATE,Fiscal-year end date of the selected annual facts.
q1_annual_company_metrics,one formal company x available fiscal year,5,revenue,DOUBLE,Revenue produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,6,operating_income,DOUBLE,Operating income produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,7,net_income,DOUBLE,Net income produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,8,total_assets,DOUBLE,Total assets produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,9,total_liabilities,DOUBLE,Total liabilities produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,10,total_equity,DOUBLE,Total equity produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,11,current_assets,DOUBLE,Current assets produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,12,current_liabilities,DOUBLE,Current liabilities produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,13,cash_and_equivalents,DOUBLE,Cash and equivalents produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,14,inventory,DOUBLE,Inventory produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,15,total_debt,DOUBLE,Total debt produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,16,operating_cash_flow,DOUBLE,Operating cash flow produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,17,capital_expenditure,DOUBLE,Capital expenditure produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,18,free_cash_flow,DOUBLE,Free cash flow produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,19,row_data_as_of,DATE,Row data as of produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,20,prior_fiscal_year,BIGINT,Prior consecutive fiscal-year fiscal year.
q1_annual_company_metrics,one formal company x available fiscal year,21,prior_total_assets,DOUBLE,Prior consecutive fiscal-year total assets.
q1_annual_company_metrics,one formal company x available fiscal year,22,prior_total_equity,DOUBLE,Prior consecutive fiscal-year total equity.
q1_annual_company_metrics,one formal company x available fiscal year,23,prior_revenue,DOUBLE,Prior consecutive fiscal-year revenue.
q1_annual_company_metrics,one formal company x available fiscal year,24,company_name,VARCHAR,Issuer display name from the frozen formal sample.
q1_annual_company_metrics,one formal company x available fiscal year,25,formal_peer_group,VARCHAR,Gate1-v1.0 peer group used for descriptive benchmarks.
q1_annual_company_metrics,one formal company x available fiscal year,26,status_group,VARCHAR,Status group produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,27,formal_sample_status,VARCHAR,Formal sample status produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,28,comparability_note,VARCHAR,Comparability note produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,29,data_as_of,DATE,Data as of produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,30,average_assets,DOUBLE,Mean of consecutive prior and current fiscal-year-end total assets.
q1_annual_company_metrics,one formal company x available fiscal year,31,average_equity,DOUBLE,Mean of consecutive prior and current fiscal-year-end total equity.
q1_annual_company_metrics,one formal company x available fiscal year,32,net_margin,DOUBLE,Net income divided by revenue with zero-denominator protection.
q1_annual_company_metrics,one formal company x available fiscal year,33,operating_margin,DOUBLE,Operating margin produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,34,current_ratio,DOUBLE,Current ratio produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,35,quick_ratio,DOUBLE,Quick ratio produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,36,cash_ratio,DOUBLE,Cash ratio produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,37,liabilities_to_assets,DOUBLE,Liabilities to assets produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,38,total_debt_to_assets,DOUBLE,Total debt to assets produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,39,operating_cash_flow_margin,DOUBLE,Operating cash flow margin produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,40,free_cash_flow_margin,DOUBLE,Free cash flow margin produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,41,capital_expenditure_intensity,DOUBLE,Capital expenditure intensity produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,42,free_cash_flow_conversion,DOUBLE,Free cash flow conversion produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,43,revenue_growth,DOUBLE,Revenue growth produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,44,average_balance_available_flag,BOOLEAN,Boolean indicator for average balance available.
q1_annual_company_metrics,one formal company x available fiscal year,45,asset_turnover,DOUBLE,Revenue divided by average assets with zero-denominator protection.
q1_annual_company_metrics,one formal company x available fiscal year,46,equity_multiplier,DOUBLE,Average assets divided by positive average equity.
q1_annual_company_metrics,one formal company x available fiscal year,47,roe,DOUBLE,Net income divided by positive average equity; otherwise null.
q1_annual_company_metrics,one formal company x available fiscal year,48,roa,DOUBLE,Roa produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,49,positive_average_equity_flag,BOOLEAN,Boolean indicator for positive average equity.
q1_annual_company_metrics,one formal company x available fiscal year,50,dupont_roe,DOUBLE,Dupont roe produced by q1_annual_company_metrics; inherited fields retain source-mart meaning.
q1_annual_company_metrics,one formal company x available fiscal year,51,dupont_valid_flag,BOOLEAN,Boolean indicator for dupont valid.
q1_annual_company_metrics,one formal company x available fiscal year,52,roe_valid_flag,BOOLEAN,Boolean indicator for roe valid.
q1_annual_company_metrics,one formal company x available fiscal year,53,near_zero_average_equity_flag,BOOLEAN,Boolean indicator for near zero average equity.
q1_annual_company_metrics,one formal company x available fiscal year,54,dupont_identity_gap,DOUBLE,ROE minus the product of the three DuPont components.
