company_id,ticker,company_name,cik,exchange,listing_date,listing_date_source_note,peer_group,classification_confidence,status_group,analysis_scope_group,online_core_flag,inventory_ownership_flag,revenue_recognition_model,fiscal_year_end,include_q1_candidate,b1_pilot_included,q2_event_candidate,exclusion_reason,sec_entity_name,source_note
amzn,AMZN,Amazon.com Inc,0001018724,Nasdaq,1997-05-15,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,high,active,b1_pilot,true,mixed,mixed,1231,1,1,0,NA,AMAZON COM INC,SEC ticker map and submissions metadata; project classification
bkng,BKNG,Booking Holdings Inc,0001075531,Nasdaq,1999-03-30,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,travel_booking_platform,high,active,b1_pilot,true,false,net,1231,1,1,0,NA,Booking Holdings Inc.,SEC ticker map and submissions metadata; project classification
chwy,CHWY,Chewy Inc,0001766502,NYSE,2019-06-14,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,first_party_retail,high,active,b1_pilot,true,true,gross,0201,1,1,0,NA,"Chewy, Inc.",SEC ticker map and submissions metadata; project classification
dash,DASH,DoorDash Inc,0001792789,Nasdaq,2020-12-09,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,food_delivery_local_commerce,high,active,b1_pilot,true,false,net,1231,1,1,0,NA,"DoorDash, Inc.",SEC ticker map and submissions metadata; project classification
ebay,EBAY,eBay Inc,0001065088,Nasdaq,1998-09-24,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,high,active,b1_pilot,true,false,net,1231,1,1,0,NA,EBAY INC,SEC ticker map and submissions metadata; project classification
etsy,ETSY,Etsy Inc,0001370637,NYSE,2015-04-16,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,high,active,b1_pilot,true,false,net,1231,1,1,0,NA,ETSY INC,SEC ticker map and submissions metadata; project classification
ftch,FTCH,Farfetch Ltd,,NYSE,2018-09-21,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,medium,acquired,historical_reference,boundary,false,net,,0,0,1,Delisted or acquired company,,SEC ticker map where current; project census classification
posh,POSH,Poshmark Inc,,NASDAQ,2021-01-14,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,medium,acquired,historical_reference,boundary,false,net,,0,0,1,Delisted or acquired company,,SEC ticker map where current; project census classification
abnb,ABNB,Airbnb Inc,0001559720,Nasdaq,2020-12-10,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,travel_booking_platform,medium,active,q1_candidate,true,false,net,,1,0,0,NA,,SEC ticker map where current; project census classification
byon,BYON,Beyond Inc,,NYSE,2002-05-30,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,medium,active,q1_candidate,true,mixed,mixed,,1,0,0,NA,,SEC ticker map where current; project census classification
expe,EXPE,Expedia Group Inc,0001324424,Nasdaq,1999-11-10,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,travel_booking_platform,medium,active,q1_candidate,true,false,net,,1,0,0,NA,,SEC ticker map where current; project census classification
real,REAL,The RealReal Inc,0001573221,Nasdaq,2019-06-28,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,medium,active,q1_candidate,true,false,net,,1,0,1,NA,,SEC ticker map where current; project census classification
rvlv,RVLV,Revolve Group Inc,0001746618,NYSE,2019-06-07,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,first_party_retail,medium,active,q1_candidate,true,true,gross,,1,0,0,NA,,SEC ticker map where current; project census classification
sfix,SFIX,Stitch Fix Inc,0001576942,Nasdaq,2017-11-17,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,first_party_retail,medium,active,q1_candidate,true,true,gross,,1,0,1,NA,,SEC ticker map where current; project census classification
w,W,Wayfair Inc,0001616707,NYSE,2014-10-02,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,first_party_retail,medium,active,q1_candidate,true,true,gross,,1,0,0,NA,,SEC ticker map where current; project census classification
baba,BABA,Alibaba Group Holding Ltd,0001577552,NYSE,2014-09-19,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,low,active,watchlist,boundary,mixed,mixed,,0,0,0,Foreign ADR and China-specific reporting environment,,SEC ticker map where current; project census classification
cart,CART,Maplebear Inc,0001579091,Nasdaq,2023-09-19,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,food_delivery_local_commerce,low,active,watchlist,boundary,false,net,,0,0,0,Limited post-IPO annual history,,SEC ticker map where current; project census classification
cpng,CPNG,Coupang Inc,0001834584,NYSE,2021-03-11,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,low,active,watchlist,boundary,mixed,mixed,,0,0,0,Non-US operating geography,,SEC ticker map where current; project census classification
grpn,GRPN,Groupon Inc,0001490281,Nasdaq,2011-11-04,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,service_commerce_platform,low,active,watchlist,boundary,false,net,,0,0,1,Business model not clean e-commerce retail,,SEC ticker map where current; project census classification
jd,JD,JD.com Inc,0001549802,Nasdaq,2014-05-22,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,low,active,watchlist,boundary,mixed,mixed,,0,0,0,Foreign ADR and China-specific operating model,,SEC ticker map where current; project census classification
meli,MELI,MercadoLibre Inc,0001099590,Nasdaq,2007-08-10,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,low,active,watchlist,boundary,mixed,mixed,,0,0,0,Non-US operating geography and fintech exposure,,SEC ticker map where current; project census classification
pdd,PDD,PDD Holdings Inc,0001737806,Nasdaq,2018-07-26,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,marketplace,low,active,watchlist,boundary,false,net,,0,0,0,Foreign ADR and fast-changing platform structure,,SEC ticker map where current; project census classification
se,SE,Sea Ltd,0001703399,NYSE,2017-10-20,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,hybrid_retail_marketplace,low,active,watchlist,boundary,false,net,,0,0,0,Highly diversified non-US platform,,SEC ticker map where current; project census classification
shop,SHOP,Shopify Inc,0001594805,Nasdaq,2015-05-21,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,merchant_enablement,low,active,watchlist,false,false,unknown,,0,0,0,Infrastructure provider rather than direct commerce platform,,SEC ticker map where current; project census classification
uber,UBER,Uber Technologies Inc,0001543151,NYSE,2019-05-10,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,food_delivery_local_commerce,low,active,watchlist,false,false,net,,0,0,0,Mobility business dominates comparability,,SEC ticker map where current; project census classification
vips,VIPS,Vipshop Holdings Ltd,0001529192,NYSE,2012-03-23,Provisional public-listing date from the project census; reverify during A1 before A3 coverage verification,first_party_retail,low,active,watchlist,boundary,true,gross,,0,0,0,Foreign ADR and China-specific operating model,,SEC ticker map where current; project census classification
