company_id,fiscal_year,metric_name,flag_code,flag_value,severity,reason,source_fields,generated_at
abnb,2019,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
abnb,2020,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
abnb,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
amzn,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
bird,2019,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
bird,2020,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
bird,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
bkng,2024,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
bkng,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
byon,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
cars,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
chwy,2018,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
chwy,2019,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
chwy,2020,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
chwy,2021,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
chwy,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
cvna,2022,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
cvna,2023,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
cvna,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
dash,2018,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
dash,2019,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
dash,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
ebay,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
etsy,2023,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
etsy,2024,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
etsy,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
expe,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
figs,2019,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
figs,2020,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
figs,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
love,2018,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
love,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
pton,2018,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
pton,2019,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
pton,2024,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
pton,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
qvcga,2024,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
qvcga,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
rvlv,2018,dupont,missing_prior_balance,True,high,Consecutive prior-year assets/equity are unavailable,total_assets|total_equity,2026-08-05T00:00:00+00:00
rvlv,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
sfix,2024,h1_outcome,insufficient_forward_year,True,medium,No consecutive t+1 annual observation is available,roe,2026-08-05T00:00:00+00:00
snbr,2018,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2019,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2020,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2021,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2022,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2023,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
snbr,2024,roe,non_positive_average_equity,True,high,Average equity is nonpositive; ROE is invalid,total_equity,2026-08-05T00:00:00+00:00
