event_id,company_id,event_type,event_date,event_date_basis,event_effective_date,event_source,event_date_confidence,estimated_pre_event_quarters,coverage_verified,verified_pre_event_quarters,qualifies_for_q2,exclusion_reason
EVT-APRN-2023-01,aprn,Going concern,2023-03-16,Filing date of FY2022 Form 10-K containing substantial-doubt disclosure,2023-03-16,https://www.sec.gov/Archives/edgar/data/1701114/000170111423000020/aprn-20221231.htm,medium,22,0,,,
EVT-BBBY-2023-01,bbby,Chapter 11,2023-04-23,Date voluntary Chapter 11 petitions were filed,2023-04-23,https://www.sec.gov/Archives/edgar/data/886158/000119312523115523/d89202d8k.htm,high,123,0,,,
EVT-BIRD-2026-01,bird,Going concern,2026-03-31,Filing date of FY2025 Form 10-K containing going-concern opinion and substantial-doubt disclosure,2026-03-31,https://www.sec.gov/Archives/edgar/data/1653909/000162828026022192/bird-20251231.htm,high,17,0,,,
EVT-BOXD-2023-01,boxd,Chapter 11,2023-04-02,Date Boxed and subsidiaries filed voluntary Chapter 11 petitions,2023-04-02,https://www.sec.gov/Archives/edgar/data/1828672/000114036123015650/brhc10050839_424b3.htm,high,5,0,,,
EVT-CVNA-2023-01,cvna,Debt restructuring,2023-07-19,First public announcement of binding transaction support agreement with noteholders,2023-07-19,https://www.sec.gov/Archives/edgar/data/1690820/000119312523189188/d537573dex991.htm,high,24,0,,,
EVT-FTCH-2023-01,ftch,Emergency financing,2023-12-18,First public filing of committed bridge facility required to continue as a going concern,2023-12-18,https://www.sec.gov/Archives/edgar/data/1740915/000119312523297359/d667724d6k.htm,high,21,0,,,
EVT-GRPN-2023-01,grpn,Going concern,2023-03-16,Filing date of FY2022 Form 10-K disclosing substantial doubt and management plans,2023-03-16,https://www.sec.gov/Archives/edgar/data/1490281/000149028123000022/grpn-20221231.htm,medium,45,0,,,
EVT-ME-2025-01,me,Chapter 11,2025-03-23,Date 23andMe and filing subsidiaries filed voluntary Chapter 11 petitions,2025-03-23,https://www.sec.gov/Archives/edgar/data/1804591/000119312525060817/d933650d8k.htm,high,15,0,,,
EVT-QVCGA-2026-01,qvcga,Chapter 11,2026-04-16,Date QVC Group and filing affiliates commenced voluntary prepackaged Chapter 11 cases,2026-04-16,https://www.sec.gov/Archives/edgar/data/1355096/000110465926044521/tm2611635d1_8k.htm,high,79,0,,,
EVT-REAL-2024-01,real,Debt restructuring,2024-02-29,Date binding private exchange agreements were entered and consummated,2024-02-29,https://www.sec.gov/Archives/edgar/data/1573221/000157322124000066/real-20240229.htm,high,18,0,,,
EVT-RENT-2025-01,rent,Debt restructuring,2025-08-20,First public announcement of binding recapitalization and debt exchange agreements,2025-08-20,https://www.sec.gov/Archives/edgar/data/1468327/000095010325010570/dp233297_defa14a.htm,high,15,0,,,
EVT-SNBR-2026-01,snbr,Chapter 11,2026-06-12,Date Sleep Number and filing subsidiaries commenced voluntary Chapter 11 cases,2026-06-12,https://www.sec.gov/Archives/edgar/data/827187/000082718726000053/snbr-20260616.htm,high,110,0,,,
EVT-VRM-2024-01,vrm,Asset exit / liquidation,2024-01-22,First public filing of board-approved ecommerce wind-down and liquidity-preservation plan,2024-03-29,https://www.sec.gov/Archives/edgar/data/1580864/000119312524012173/d152784d8k.htm,high,14,0,,,
EVT-WISH-2024-01,wish,Asset exit / liquidation,2024-02-12,First public announcement of agreement to sell substantially all Wish operating assets,2024-04-19,https://www.sec.gov/Archives/edgar/data/1822250/000121390024012273/ea193410ex99-2_contextlogic.htm,high,12,0,,,
