event_id,company_id,ticker,peer_group,event_type,event_date,coverage_verified,verified_pre_event_quarters,first_verified_quarter_end,latest_verified_quarter_end,quarterly_income_balance_coverage,cashflow_quarter_end_count,cashflow_coverage_status,filing_dates_available,pit_feasible,ytd_cashflow_reconstruction,eligible_peer_control_count,estimated_manual_review_minutes,manual_cost_acceptable,qualifies_for_q2,exclusion_reason
EVT-APRN-2023-01,aprn,APRN,inventory_led_ecommerce,Going concern,2023-03-16,1,17,2017-06-30,2022-09-30,sufficient,20,available_ytd_reconstruction_required,1,1,required_feasible,6,90,1,1,
EVT-BBBY-2023-01,bbby,BBBY,inventory_led_ecommerce,Chapter 11,2023-04-23,1,17,2017-08-26,2022-11-26,sufficient,26,available_ytd_reconstruction_required,1,1,required_feasible,6,90,1,1,
EVT-BIRD-2026-01,bird,BIRD,dtc_brand,Going concern,2026-03-31,1,13,2021-09-30,2025-09-30,sufficient,16,available_ytd_reconstruction_required,1,1,required_feasible,14,90,1,1,
EVT-BOXD-2023-01,boxd,BOXD,inventory_led_ecommerce,Chapter 11,2023-04-02,1,6,2021-03-31,2022-09-30,insufficient,6,insufficient_quarterly_cashflow_coverage,1,1,not_feasible_from_companyfacts,7,150,0,0,fewer_than_8_verified_pre_event_quarters|insufficient_quarterly_cashflow_coverage|manual_cost_above_a3_acceptability_limit
EVT-CVNA-2023-01,cvna,CVNA,inventory_led_ecommerce,Debt restructuring,2023-07-19,1,19,2017-06-30,2023-06-30,sufficient,22,available_ytd_reconstruction_required,1,1,required_feasible,6,90,1,1,
EVT-FTCH-2023-01,ftch,FTCH,marketplace_platform,Emergency financing,2023-12-18,1,0,,,insufficient,0,insufficient_quarterly_cashflow_coverage,0,0,not_feasible_from_companyfacts,12,150,0,0,fewer_than_8_verified_pre_event_quarters|insufficient_quarterly_cashflow_coverage|point_in_time_metadata_incomplete|manual_cost_above_a3_acceptability_limit
EVT-GRPN-2023-01,grpn,GRPN,marketplace_platform,Going concern,2023-03-16,1,33,2012-03-31,2022-09-30,sufficient,36,available_ytd_reconstruction_required,1,1,required_feasible,7,90,1,1,
EVT-ME-2025-01,me,ME,dtc_brand,Chapter 11,2025-03-23,1,14,2020-09-30,2024-12-31,sufficient,16,available_ytd_reconstruction_required,1,1,required_feasible,14,90,1,1,
EVT-QVCGA-2026-01,qvcga,QVCGA,inventory_led_ecommerce,Chapter 11,2026-04-16,1,50,2009-06-30,2025-09-30,sufficient,51,available_ytd_reconstruction_required,1,1,required_feasible,6,90,1,1,
EVT-REAL-2024-01,real,REAL,marketplace_platform,Debt restructuring,2024-02-29,1,14,2019-06-30,2023-09-30,sufficient,17,available_ytd_reconstruction_required,1,1,required_feasible,11,90,1,1,
EVT-RENT-2025-01,rent,RENT,dtc_brand,Debt restructuring,2025-08-20,1,11,2021-10-31,2025-04-30,sufficient,14,available_ytd_reconstruction_required,1,1,required_feasible,14,90,1,1,
EVT-SNBR-2026-01,snbr,SNBR,dtc_brand,Chapter 11,2026-06-12,1,45,2011-07-02,2026-04-04,sufficient,47,available_ytd_reconstruction_required,1,1,required_feasible,14,90,1,1,
EVT-VRM-2024-01,vrm,VRM,inventory_led_ecommerce,Asset exit / liquidation,2024-01-22,1,11,2020-06-30,2023-09-30,sufficient,14,available_ytd_reconstruction_required,1,1,required_feasible,6,90,1,1,
EVT-WISH-2024-01,wish,WISH,marketplace_platform,Asset exit / liquidation,2024-02-12,1,9,2021-03-31,2023-09-30,sufficient,12,available_ytd_reconstruction_required,1,1,required_feasible,11,90,1,1,
